,w_front,reward
0,[0. 1.],[ 0.7 -2. ]
1,[0.03125 0.96875],[ 0.7 -5. ]
2,[0.0625 0.9375],[ 0.7 -7. ]
3,[0.09375 0.90625],[ 0.7 -3. ]
4,[0.125 0.875],[ 0.7 -5. ]
5,[0.15625 0.84375],[ 0.7 -5. ]
6,[0.1875 0.8125],[ 0.7 -5. ]
7,[0.21875 0.78125],[ 8.2 -8. ]
8,[0.25 0.75],[ 8.2 -7. ]
9,[0.28125 0.71875],[ 8.2 -6. ]
10,[0.3125 0.6875],[ 8.2 -7. ]
11,[0.34375 0.65625],[ 8.2 -8. ]
12,[0.375 0.625],[ 8.2 -8. ]
13,[0.40625 0.59375],[ 8.2 -9. ]
14,[0.4375 0.5625],[11.5 -9. ]
15,[0.46875 0.53125],[ 8.2 -9. ]
16,[0.5 0.5],[ 11.5 -12. ]
17,[0.53125 0.46875],[ 8.2 -9. ]
18,[0.5625 0.4375],[ 11.5 -12. ]
19,[0.59375 0.40625],[ 15.1 -12. ]
20,[0.625 0.375],[ 11.5 -12. ]
21,[0.65625 0.34375],[ 14. -13.]
22,[0.6875 0.3125],[ 11.5 -13. ]
23,[0.71875 0.28125],[ 0.7 -7. ]
24,[0.75 0.25],[  8.2 -12. ]
25,[0.78125 0.21875],[ 16.1 -13. ]
26,[0.8125 0.1875],[ 14. -15.]
27,[0.84375 0.15625],[ 16.1 -13. ]
28,[0.875 0.125],[ 20.3 -21. ]
29,[0.90625 0.09375],[ 16.1 -16. ]
30,[0.9375 0.0625],[ 16.1 -17. ]
31,[0.96875 0.03125],[ 19.6 -21. ]
32,[1. 0.],[ 16.1 -15. ]
