,w_front,reward
0,[0. 1.],[ 0.7 -9. ]
1,[0.03125 0.96875],[ 0.7 -6. ]
2,[0.0625 0.9375],[ 0.7 -5. ]
3,[0.09375 0.90625],[ 0.7 -5. ]
4,[0.125 0.875],[ 0.7 -6. ]
5,[0.15625 0.84375],[ 0.7 -4. ]
6,[0.1875 0.8125],[ 0.7 -5. ]
7,[0.21875 0.78125],[ 8.2 -5. ]
8,[0.25 0.75],[ 8.2 -6. ]
9,[0.28125 0.71875],[ 8.2 -6. ]
10,[0.3125 0.6875],[ 8.2 -7. ]
11,[0.34375 0.65625],[ 8.2 -8. ]
12,[0.375 0.625],[ 8.2 -8. ]
13,[0.40625 0.59375],[ 8.2 -9. ]
14,[0.4375 0.5625],[ 11.5 -10. ]
15,[0.46875 0.53125],[ 11.5 -11. ]
16,[0.5 0.5],[ 11.5 -12. ]
17,[0.53125 0.46875],[ 11.5 -11. ]
18,[0.5625 0.4375],[ 14. -12.]
19,[0.59375 0.40625],[ 14. -12.]
20,[0.625 0.375],[ 15.1 -13. ]
21,[0.65625 0.34375],[ 16.1 -13. ]
22,[0.6875 0.3125],[ 15.1 -14. ]
23,[0.71875 0.28125],[ 15.1 -15. ]
24,[0.75 0.25],[ 16.1 -14. ]
25,[0.78125 0.21875],[ 20.3 -16. ]
26,[0.8125 0.1875],[ 20.3 -18. ]
27,[0.84375 0.15625],[ 20.3 -17. ]
28,[0.875 0.125],[ 19.6 -18. ]
29,[0.90625 0.09375],[ 22.4 -20. ]
30,[0.9375 0.0625],[ 20.3 -17. ]
31,[0.96875 0.03125],[ 20.3 -19. ]
32,[1. 0.],[ 23.7 -19. ]
