,w_front,reward
0,[0. 1.],[ 0.7 -2. ]
1,[0.03125 0.96875],[ 0.7 -2. ]
2,[0.0625 0.9375],[ 0.7 -4. ]
3,[0.09375 0.90625],[ 0.7 -5. ]
4,[0.125 0.875],[ 0.7 -3. ]
5,[0.15625 0.84375],[ 0.7 -4. ]
6,[0.1875 0.8125],[ 0.7 -5. ]
7,[0.21875 0.78125],[ 0.7 -1. ]
8,[0.25 0.75],[ 0.7 -5. ]
9,[0.28125 0.71875],[ 8.2 -5. ]
10,[0.3125 0.6875],[ 8.2 -7. ]
11,[0.34375 0.65625],[ 8.2 -8. ]
12,[0.375 0.625],[  8.2 -10. ]
13,[0.40625 0.59375],[ 11.5 -10. ]
14,[0.4375 0.5625],[11.5 -9. ]
15,[0.46875 0.53125],[ 11.5 -11. ]
16,[0.5 0.5],[ 14. -12.]
17,[0.53125 0.46875],[  0.7 -10. ]
18,[0.5625 0.4375],[  8.2 -12. ]
19,[0.59375 0.40625],[  8.2 -10. ]
20,[0.625 0.375],[  8.2 -13. ]
21,[0.65625 0.34375],[ 11.5 -13. ]
22,[0.6875 0.3125],[ 0.7 -5. ]
23,[0.71875 0.28125],[ 11.5 -15. ]
24,[0.75 0.25],[  8.2 -13. ]
25,[0.78125 0.21875],[ 14. -16.]
26,[0.8125 0.1875],[ 15.1 -15. ]
27,[0.84375 0.15625],[ 14. -16.]
28,[0.875 0.125],[  8.2 -17. ]
29,[0.90625 0.09375],[  8.2 -17. ]
30,[0.9375 0.0625],[ 22.4 -24. ]
31,[0.96875 0.03125],[ 11.5 -17. ]
32,[1. 0.],[ 14. -20.]
