,w_front,reward
0,[0. 1.],[ 0.7 -1. ]
1,[0.03125 0.96875],[ 0.7 -2. ]
2,[0.0625 0.9375],[ 0.7 -3. ]
3,[0.09375 0.90625],[ 0.7 -3. ]
4,[0.125 0.875],[ 0.7 -3. ]
5,[0.15625 0.84375],[ 0.7 -4. ]
6,[0.1875 0.8125],[ 0.7 -5. ]
7,[0.21875 0.78125],[ 8.2 -6. ]
8,[0.25 0.75],[ 8.2 -6. ]
9,[0.28125 0.71875],[ 8.2 -7. ]
10,[0.3125 0.6875],[ 8.2 -8. ]
11,[0.34375 0.65625],[ 0.7 -6. ]
12,[0.375 0.625],[ 8.2 -9. ]
13,[0.40625 0.59375],[  8.2 -10. ]
14,[0.4375 0.5625],[14. -9.]
15,[0.46875 0.53125],[ 14. -10.]
16,[0.5 0.5],[ 14. -11.]
17,[0.53125 0.46875],[ 14. -12.]
18,[0.5625 0.4375],[ 16.1 -12. ]
19,[0.59375 0.40625],[ 16.1 -12. ]
20,[0.625 0.375],[ 16.1 -12. ]
21,[0.65625 0.34375],[ 15.1 -10. ]
22,[0.6875 0.3125],[ 19.6 -16. ]
23,[0.71875 0.28125],[ 19.6 -17. ]
24,[0.75 0.25],[ 16.1 -14. ]
25,[0.78125 0.21875],[ 22.4 -18. ]
26,[0.8125 0.1875],[ 20.3 -15. ]
27,[0.84375 0.15625],[ 20.3 -16. ]
28,[0.875 0.125],[ 20.3 -17. ]
29,[0.90625 0.09375],[ 22.4 -19. ]
30,[0.9375 0.0625],[ 22.4 -19. ]
31,[0.96875 0.03125],[ 22.4 -18. ]
32,[1. 0.],[ 22.4 -18. ]
