1.0,1692642066421,-15.0
1000.0,1692642110744,-5.97490523258845
2000.0,1692642153758,-15.0
3000.0,1692642198680,-15.0
4000.0,1692642244663,-15.0
5000.0,1692642289394,-15.0
6000.0,1692642334897,-12.444034090942957
7000.0,1692642379774,-9.46401515253114
8000.0,1692642424344,-7.419886365137769
9000.0,1692642470653,-4.378787883359826
10000.0,1692642515850,-3.786931823374647
11000.0,1692642561282,-2.1249053135627145
12000.0,1692642606686,-1.040530283399152
13000.0,1692642652613,0.5434659429910508
14000.0,1692642697491,2.242424306770166
15000.0,1692642742179,5.119697099608002
16000.0,1692642787123,5.973295601875042
17000.0,1692642832060,6.0265152200943595
18000.0,1692642877679,6.13617405741278
19000.0,1692642922886,6.402935452477047
20000.0,1692642968616,6.570643766303405
21000.0,1692643013336,5.242424123158509
22000.0,1692643058537,4.581912770359353
23000.0,1692643105064,5.91183699074794
24000.0,1692643151179,6.592897604755832
25000.0,1692643193741,5.242897608006994
26000.0,1692643238614,5.2432764153927565
27000.0,1692643284904,5.91325743987479
28000.0,1692643331640,5.91325743987479
29000.0,1692643377904,5.91325743987479
30000.0,1692643423330,5.91325743987479
31000.0,1692643468500,5.914109719465628
32000.0,1692643512933,5.914109719465628
33000.0,1692643557441,6.59204530710298
34000.0,1692643601774,6.59204530710298
35000.0,1692643646573,6.59204530710298
36000.0,1692643690900,6.803030382446719
37000.0,1692643735683,6.815246338137623
38000.0,1692643781372,6.8543562418922335
39000.0,1692643826361,6.8593752040443094
40000.0,1692643871535,6.8593752040443094
41000.0,1692643917309,6.8593752040443094
42000.0,1692643962972,6.861269165112665
43000.0,1692644007993,6.860795685682785
44000.0,1692644053897,6.861269165112665
45000.0,1692644099311,6.861269165112665
46000.0,1692644146148,6.861269165112665
47000.0,1692644192377,6.861269165112665
48000.0,1692644238518,6.861269165112665
49000.0,1692644284449,6.861269165112665
50000.0,1692644330926,6.861269165112665
