x,,y
1.0,1686047639235,0.0
1000.0,1686047665337,0.5037000179290771
2000.0,1686047690798,0.4814999997615814
3000.0,1686047716752,0.0
4000.0,1686047742453,0.0
5000.0,1686047769203,0.0
6000.0,1686047796605,0.28519999980926514
7000.0,1686047823659,0.5974000096321106
8000.0,1686047850342,0.5958999991416931
9000.0,1686047876903,0.5910999774932861
10000.0,1686047903497,0.5443000197410583
11000.0,1686047930255,0.5911999940872192
12000.0,1686047957409,0.5906000137329102
13000.0,1686047984465,0.5943999886512756
14000.0,1686048011110,0.588100016117096
15000.0,1686048037933,0.6072999835014343
16000.0,1686048065074,0.6139000058174133
17000.0,1686048092052,0.612500011920929
18000.0,1686048119163,0.6093999743461609
19000.0,1686048146383,0.6255000233650208
20000.0,1686048173322,0.6279000043869019
21000.0,1686048200585,0.6310999989509583
22000.0,1686048228289,0.6265000104904175
23000.0,1686048256251,0.6248999834060669
24000.0,1686048284594,0.6349999904632568
25000.0,1686048311956,0.6233999729156494
26000.0,1686048339151,0.6277999877929688
27000.0,1686048366413,0.6333000063896179
28000.0,1686048393550,0.6316999793052673
29000.0,1686048420238,0.6327000260353088
30000.0,1686048446960,0.6225000023841858
31000.0,1686048473461,0.6309999823570251
32000.0,1686048500002,0.629800021648407
33000.0,1686048526825,0.6323000192642212
34000.0,1686048554252,0.6287000179290771
35000.0,1686048581443,0.6247000098228455
36000.0,1686048608804,0.633400022983551
37000.0,1686048636523,0.6330000162124634
38000.0,1686048663178,0.6288999915122986
39000.0,1686048690086,0.6384999752044678
40000.0,1686048717876,0.6273999810218811
41000.0,1686048745329,0.6337000131607056
42000.0,1686048772994,0.621399998664856
43000.0,1686048800162,0.6276999711990356
44000.0,1686048827495,0.6259999871253967
45000.0,1686048855059,0.6280999779701233
46000.0,1686048882115,0.6351000070571899
47000.0,1686048910202,0.6256999969482422
48000.0,1686048937629,0.6173999905586243
49000.0,1686048965123,0.6226999759674072
50000.0,1686048992781,0.6309999823570251
51000.0,1686049020068,0.6223000288009644
52000.0,1686049047548,0.6362000107765198
53000.0,1686049075678,0.6284999847412109
54000.0,1686049104261,0.6272000074386597
55000.0,1686049133085,0.63919997215271
56000.0,1686049162158,0.6299999952316284
57000.0,1686049191422,0.628600001335144
58000.0,1686049220994,0.6298999786376953
59000.0,1686049251003,0.6323000192642212
60000.0,1686049280189,0.6334999799728394
61000.0,1686049313158,0.6255000233650208
62000.0,1686049342909,0.6310999989509583
63000.0,1686049372078,0.6334999799728394
64000.0,1686049400492,0.6358000040054321
65000.0,1686049428847,0.6294000148773193
66000.0,1686049458321,0.6340000033378601
67000.0,1686049487220,0.633400022983551
68000.0,1686049516223,0.6265000104904175
69000.0,1686049545042,0.6358000040054321
70000.0,1686049573865,0.6284999847412109
71000.0,1686049602684,0.6360999941825867
72000.0,1686049631681,0.6251000165939331
73000.0,1686049660505,0.6305000185966492
74000.0,1686049689330,0.6276999711990356
75000.0,1686049719869,0.6263999938964844
76000.0,1686049752576,0.6262000203132629
77000.0,1686049784678,0.6280999779701233
78000.0,1686049817155,0.6298999786376953
79000.0,1686049849131,0.6320000290870667
80000.0,1686049881476,0.6284999847412109
81000.0,1686049913754,0.632099986076355
82000.0,1686049946308,0.6341000199317932
83000.0,1686049978809,0.6352999806404114
84000.0,1686050010600,0.6316999793052673
85000.0,1686050042774,0.6223000288009644
86000.0,1686050074624,0.6320000290870667
87000.0,1686050106509,0.6290000081062317
88000.0,1686050138376,0.6309000253677368
89000.0,1686050171289,0.6327000260353088
90000.0,1686050203220,0.6305999755859375
91000.0,1686050235123,0.6240000128746033
92000.0,1686050267352,0.6312999725341797
93000.0,1686050299452,0.6360999941825867
94000.0,1686050332351,0.6309999823570251
95000.0,1686050365358,0.6312999725341797
96000.0,1686050397349,0.6248999834060669
97000.0,1686050430032,0.6326000094413757
98000.0,1686050462172,0.6341000199317932
99000.0,1686050495225,0.6388000249862671
100000.0,1686050527845,0.6323999762535095
