,Mean EUM,Std Deviation
gpi-pd,6.595786107986262,0.0003347985998553494
mo-dqn(esr),6.81295473967312,0.03135197422460953
pql,6.862594942195398,0.0
mo-sac(ser),6.571433276182624,0.5015185041820454
mo-dqn(ser),6.36210237808074,0.33219235876525677
