,Mean HV,Std Deviation
gpi-pd,0.7197999954223633,0.0007071398243157801
mo-dqn(esr),0.7108800053596497,0.005649061941501982
pql,0.7145999789237976,0.0034928556379325774
mo-sac(ser),0.7059333324432373,0.025564473161480486
mo-dqn(ser),0.7035199999809265,0.004866411791389678
