,Mean EUL,Std Deviation
gpi-pd,2.6575773486532626,0.015385736492093042
mo-dqn(esr),1.2053403926289032,0.5823031547170183
pql,0.008571371338793665,0.01916531032739151
mo-sac(ser),1.068573080797839,1.6820542026154401
mo-dqn(ser),1.0137647785508963,0.4586558868026495
