x,,y
1.0,1686070744270,0.2962999939918518
1000.0,1686070759822,0.28600001335144043
2000.0,1686070775631,0.4690999984741211
3000.0,1686070791901,0.4668000042438507
4000.0,1686070807890,0.4690000116825104
5000.0,1686070823771,0.4641999900341034
6000.0,1686070839572,0.5360999703407288
7000.0,1686070855243,0.5408999919891357
8000.0,1686070871078,0.5406000018119812
9000.0,1686070886590,0.5425000190734863
10000.0,1686070902076,0.6298999786376953
11000.0,1686070917734,0.6284000277519226
12000.0,1686070933011,0.6216999888420105
13000.0,1686070948828,0.6254000067710876
14000.0,1686070965995,0.6287999749183655
15000.0,1686070981570,0.6258000135421753
16000.0,1686070997051,0.6281999945640564
17000.0,1686071013115,0.6279000043869019
18000.0,1686071028852,0.6290000081062317
19000.0,1686071043136,0.6298999786376953
20000.0,1686071057957,0.6251999735832214
21000.0,1686071072753,0.6396999955177307
22000.0,1686071087067,0.6797999739646912
23000.0,1686071101295,0.6739000082015991
24000.0,1686071115586,0.6790000200271606
25000.0,1686071130388,0.6805999875068665
26000.0,1686071144836,0.6754999756813049
27000.0,1686071158815,0.6917999982833862
28000.0,1686071172609,0.7092000246047974
29000.0,1686071186163,0.6909999847412109
30000.0,1686071199871,0.7032999992370605
31000.0,1686071213578,0.7200999855995178
32000.0,1686071227884,0.713699996471405
33000.0,1686071242706,0.7084000110626221
34000.0,1686071257346,0.704800009727478
35000.0,1686071270394,0.7050999999046326
36000.0,1686071283691,0.718999981880188
37000.0,1686071297017,0.7132999897003174
38000.0,1686071310813,0.715399980545044
39000.0,1686071324076,0.7146999835968018
40000.0,1686071337384,0.7128999829292297
41000.0,1686071350423,0.7178999781608582
42000.0,1686071364703,0.7129999995231628
43000.0,1686071378041,0.7196999788284302
44000.0,1686071390955,0.7174000144004822
45000.0,1686071404077,0.7204999923706055
46000.0,1686071417120,0.7231000065803528
47000.0,1686071430037,0.7006999850273132
48000.0,1686071442538,0.6937999725341797
49000.0,1686071455103,0.7174000144004822
50000.0,1686071467817,0.699999988079071
51000.0,1686071480836,0.6984000205993652
52000.0,1686071493925,0.7077000141143799
53000.0,1686071507068,0.7045000195503235
54000.0,1686071520592,0.7057999968528748
55000.0,1686071533533,0.7074999809265137
56000.0,1686071546343,0.7250999808311462
57000.0,1686071558969,0.71670001745224
58000.0,1686071571752,0.7121999859809875
59000.0,1686071590118,0.6987000107765198
60000.0,1686071603011,0.7005000114440918
61000.0,1686071615950,0.7024999856948853
62000.0,1686071628868,0.6808000206947327
63000.0,1686071641628,0.6916999816894531
64000.0,1686071654462,0.7074999809265137
65000.0,1686071667380,0.7250999808311462
66000.0,1686071680036,0.7073000073432922
67000.0,1686071692608,0.6988999843597412
68000.0,1686071705488,0.7206000089645386
69000.0,1686071718226,0.7177000045776367
70000.0,1686071731096,0.7099999785423279
71000.0,1686071743566,0.7203999757766724
72000.0,1686071756299,0.7228000164031982
73000.0,1686071769000,0.7174999713897705
74000.0,1686071781693,0.7245000004768372
75000.0,1686071794130,0.7214000225067139
76000.0,1686071806786,0.7098000049591064
77000.0,1686071819091,0.684499979019165
78000.0,1686071831397,0.7143999934196472
79000.0,1686071843658,0.7128999829292297
80000.0,1686071856101,0.7132999897003174
81000.0,1686071868458,0.707099974155426
82000.0,1686071880590,0.70169997215271
83000.0,1686071892809,0.7067000269889832
84000.0,1686071904912,0.7123000025749207
85000.0,1686071917344,0.7031000256538391
86000.0,1686071929564,0.707099974155426
87000.0,1686071941513,0.7016000151634216
88000.0,1686071953692,0.7121999859809875
89000.0,1686071965613,0.6998000144958496
90000.0,1686071977664,0.7049999833106995
91000.0,1686071989492,0.7089999914169312
92000.0,1686072001324,0.7196000218391418
93000.0,1686072013323,0.7009000182151794
94000.0,1686072025747,0.7196999788284302
95000.0,1686072037915,0.7081000208854675
96000.0,1686072049994,0.7020000219345093
97000.0,1686072061888,0.713100016117096
98000.0,1686072073659,0.7003999948501587
99000.0,1686072085629,0.7055000066757202
100000.0,1686072097548,0.704800009727478
